Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,ELEV1,ELEV2,DELEV
POINTVOL,10.0,35.0,-1.2962130426227652,5.0,5.0,5.0,0.0,-1.2962,-1.2938,-0.0024
POINTVOL,10.0,40.0,-0.6236833232758173,5.0,5.0,5.0,0.0,-0.6237,-0.6208,-0.0029
POINTVOL,10.0,45.0,0.04884639607113041,5.0,5.0,5.0,0.0,0.0488,0.0523,-0.0035
POINTVOL,10.0,50.0,0.7216626810902556,5.0,5.0,5.0,0.0,0.7217,0.7254,-0.0038
POINTVOL,10.0,55.0,1.395041655131015,5.0,5.0,5.0,0.0,1.395,1.3985,-0.0035
POINTVOL,10.0,60.0,2.0684206291717753,5.0,5.0,5.0,0.0,2.0684,2.0716,-0.0032
POINTVOL,10.0,65.0,2.741799603212535,5.0,5.0,5.0,0.0,2.7418,2.7447,-0.0029
POINTVOL,10.0,70.0,3.415178577253294,5.0,5.0,5.0,0.0,3.4152,3.4178,-0.0026
POINTVOL,10.0,75.0,4.088557551294055,5.0,5.0,5.0,0.0,4.0886,4.0909,-0.0023
POINTVOL,10.0,80.0,4.761936525334815,5.0,5.0,5.0,0.0,4.7619,4.7639,-0.002
POINTVOL,10.0,85.0,5.000000000000034,5.0,5.0,5.0,0.0,5.0,5.437,-0.437
POINTVOL,10.0,90.0,5.000000000000034,5.0,5.0,5.0,0.0,5.0,6.1101,-1.1101
POINTVOL,10.0,95.0,6.7832015678827755,5.0,5.0,5.0,0.0,6.7832,6.7832,0.0
POINTVOL,10.0,100.0,7.45628891803972,5.0,5.0,5.0,0.0,7.4563,7.4563,0.0
POINTVOL,15.0,0.0,-6.137193473851049,5.0,5.0,5.0,0.0,-6.1372,-6.1372,0.0
POINTVOL,15.0,5.0,-5.464106123694106,5.0,5.0,5.0,0.0,-5.4641,-5.4641,0.0
POINTVOL,15.0,10.0,-4.7910187735371625,5.0,5.0,5.0,0.0,-4.791,-4.791,0.0
POINTVOL,15.0,15.0,-2.4889977331186204,5.0,5.0,5.0,0.0,-2.489,-4.1179,1.6289
POINTVOL,15.0,20.0,-2.4889977331186204,5.0,5.0,5.0,0.0,-2.489,-3.4448,0.9558
POINTVOL,15.0,25.0,-2.4889977331186204,5.0,5.0,5.0,0.0,-2.489,-2.7718,0.2828
POINTVOL,15.0,30.0,-2.102497801247717,5.0,5.0,5.0,0.0,-2.1025,-2.0987,-0.0038
POINTVOL,15.0,35.0,-1.4299680819007698,5.0,5.0,5.0,0.0,-1.43,-1.4256,-0.0044
POINTVOL,15.0,40.0,-0.757438362553822,5.0,5.0,5.0,0.0,-0.7574,-0.7525,-0.0049
POINTVOL,15.0,45.0,-0.0849086432068742,5.0,5.0,5.0,0.0,-0.0849,-0.0794,-0.0055
POINTVOL,15.0,50.0,0.5880509246483385,5.0,5.0,5.0,0.0,0.5881,0.5937,-0.0056
POINTVOL,15.0,55.0,1.261429898689098,5.0,5.0,5.0,0.0,1.2614,1.2668,-0.0053
POINTVOL,15.0,60.0,1.9348088727298582,5.0,5.0,5.0,0.0,1.9348,1.9399,-0.005
POINTVOL,15.0,65.0,2.500000000000017,5.0,5.0,5.0,0.0,2.5,2.6129,-0.1129
POINTVOL,15.0,70.0,2.500000000000017,5.0,5.0,5.0,0.0,2.5,3.286,-0.786
POINTVOL,15.0,75.0,2.500000000000017,5.0,5.0,5.0,0.0,2.5,3.9591,-1.4591
POINTVOL,15.0,80.0,2.500000000000017,5.0,5.0,5.0,0.0,2.5,4.6322,-2.1322
POINTVOL,15.0,85.0,2.500000000000017,5.0,5.0,5.0,0.0,2.5,5.3053,-2.8053
POINTVOL,15.0,90.0,4.999999999999916,5.0,5.0,5.0,0.0,5.0,5.9784,-0.9784
POINTVOL,15.0,95.0,6.651466179130874,5.0,5.0,5.0,0.0,6.6515,6.6515,0.0
POINTVOL,15.0,100.0,7.324553529287819,5.0,5.0,5.0,0.0,7.3246,7.3246,0.0
POINTVOL,20.0,0.0,-6.26892886260295,5.0,5.0,5.0,0.0,-6.2689,-6.2689,0.0
POINTVOL,20.0,5.0,-5.595841512446007,5.0,5.0,5.0,0.0,-5.5958,-5.5958,0.0
POINTVOL,20.0,10.0,-4.922754162289064,5.0,5.0,5.0,0.0,-4.9228,-4.9228,-0.0
POINTVOL,20.0,15.0,-2.491230001053783,5.0,5.0,5.0,0.0,-2.4912,-4.2497,1.7584
POINTVOL,20.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.5766,3.5766
POINTVOL,20.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.9035,2.9035
POINTVOL,20.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.2304,2.2304
POINTVOL,20.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.5573,1.5573
POINTVOL,20.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.8842,0.8842
POINTVOL,20.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.2111,0.2111
POINTVOL,20.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,0.4619,-0.4619
POINTVOL,20.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,1.135,-1.135
POINTVOL,20.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.8081,-1.8081
POINTVOL,20.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,2.4812,-2.4812
POINTVOL,20.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,3.1543,-3.1543
POINTVOL,20.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.8274,-3.8274
POINTVOL,20.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,4.5005,-4.5005
POINTVOL,20.0,85.0,2.4999999999999245,5.0,5.0,5.0,0.0,2.5,5.1736,-2.6736
POINTVOL,20.0,90.0,4.999999999999916,5.0,5.0,5.0,0.0,5.0,5.8466,-0.8466
POINTVOL,20.0,95.0,6.519730790378974,5.0,5.0,5.0,0.0,6.5197,6.5197,0.0
POINTVOL,20.0,100.0,7.192818140535918,5.0,5.0,5.0,0.0,7.1928,7.1928,0.0
POINTVOL,25.0,0.0,-6.400664251354851,5.0,5.0,5.0,0.0,-6.4007,-6.4007,0.0
POINTVOL,25.0,5.0,-5.727576901197907,5.0,5.0,5.0,0.0,-5.7276,-5.7276,0.0
POINTVOL,25.0,10.0,-4.9846922700425305,5.0,5.0,5.0,0.0,-4.9847,-5.0545,0.0698
POINTVOL,25.0,15.0,-2.4934622689888393,5.0,5.0,5.0,0.0,-2.4935,-4.3814,1.8879
POINTVOL,25.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.7083,3.7083
POINTVOL,25.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.0352,3.0352
POINTVOL,25.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.3621,2.3621
POINTVOL,25.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.6891,1.6891
POINTVOL,25.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.016,1.016
POINTVOL,25.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.3429,0.3429
POINTVOL,25.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,0.3302,-0.3302
POINTVOL,25.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0033,-1.0033
POINTVOL,25.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.6764,-1.6764
POINTVOL,25.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,2.3495,-2.3495
POINTVOL,25.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,3.0226,-3.0226
POINTVOL,25.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.6956,-3.6956
POINTVOL,25.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,4.3687,-4.3687
POINTVOL,25.0,85.0,2.4999999999999196,5.0,5.0,5.0,0.0,2.5,5.0418,-2.5418
POINTVOL,25.0,90.0,4.99999999999991,5.0,5.0,5.0,0.0,5.0,5.7149,-0.7149
POINTVOL,25.0,95.0,6.387995401627073,5.0,5.0,5.0,0.0,6.388,6.388,0.0
POINTVOL,25.0,100.0,7.061082751784018,5.0,5.0,5.0,0.0,7.0611,7.0611,0.0
POINTVOL,30.0,0.0,-6.5323996401067514,5.0,5.0,5.0,0.0,-6.5324,-6.5324,0.0
POINTVOL,30.0,5.0,-5.859312289949808,5.0,5.0,5.0,0.0,-5.8593,-5.8593,0.0
POINTVOL,30.0,10.0,-4.986924537977587,5.0,5.0,5.0,0.0,-4.9869,-5.1862,0.1993
POINTVOL,30.0,15.0,-2.4956945369238954,5.0,5.0,5.0,0.0,-2.4957,-4.5131,2.0174
POINTVOL,30.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.8401,3.8401
POINTVOL,30.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.167,3.167
POINTVOL,30.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.4939,2.4939
POINTVOL,30.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.8208,1.8208
POINTVOL,30.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.1477,1.1477
POINTVOL,30.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.4746,0.4746
POINTVOL,30.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,0.1985,-0.1985
POINTVOL,30.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,0.8716,-0.8716
POINTVOL,30.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.5446,-1.5446
POINTVOL,30.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,2.2177,-2.2177
POINTVOL,30.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,2.8908,-2.8908
POINTVOL,30.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.5639,-3.5639
POINTVOL,30.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,4.237,-4.237
POINTVOL,30.0,85.0,2.4999999999999196,5.0,5.0,5.0,0.0,2.5,4.9101,-2.4101
POINTVOL,30.0,90.0,4.99999999999991,5.0,5.0,5.0,0.0,5.0,5.5832,-0.5832
POINTVOL,30.0,95.0,6.256260012875173,5.0,5.0,5.0,0.0,6.2563,6.2563,0.0
POINTVOL,30.0,100.0,6.929347363032117,5.0,5.0,5.0,0.0,6.9293,6.9293,0.0
POINTVOL,35.0,0.0,-6.664135028858652,5.0,5.0,5.0,0.0,-6.6641,-6.6641,0.0
POINTVOL,35.0,5.0,-5.991047678701709,5.0,5.0,5.0,0.0,-5.991,-5.991,0.0
POINTVOL,35.0,10.0,-4.989156805912643,5.0,5.0,5.0,0.0,-4.9892,-5.318,0.3288
POINTVOL,35.0,15.0,-2.497926804858951,5.0,5.0,5.0,0.0,-2.4979,-4.6449,2.1469
POINTVOL,35.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.9718,3.9718
POINTVOL,35.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.2987,3.2987
POINTVOL,35.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.6256,2.6256
POINTVOL,35.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.9525,1.9525
POINTVOL,35.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.2794,1.2794
POINTVOL,35.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.6063,0.6063
POINTVOL,35.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0667,-0.0667
POINTVOL,35.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,0.7398,-0.7398
POINTVOL,35.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.4129,-1.4129
POINTVOL,35.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,2.086,-2.086
POINTVOL,35.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,2.7591,-2.7591
POINTVOL,35.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.4322,-3.4322
POINTVOL,35.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,4.1053,-4.1053
POINTVOL,35.0,85.0,2.4999999999999196,5.0,5.0,5.0,0.0,2.5,4.7783,-2.2783
POINTVOL,35.0,90.0,4.99999999999991,5.0,5.0,5.0,0.0,5.0,5.4514,-0.4514
POINTVOL,35.0,95.0,6.124524624123272,5.0,5.0,5.0,0.0,6.1245,6.1245,0.0
POINTVOL,35.0,100.0,6.797611974280216,5.0,5.0,5.0,0.0,6.7976,6.7976,0.0
POINTVOL,40.0,0.0,-6.795870417610552,5.0,5.0,5.0,0.0,-6.7959,-6.7959,0.0
POINTVOL,40.0,5.0,-6.122783067453609,5.0,5.0,5.0,0.0,-6.1228,-6.1228,0.0
POINTVOL,40.0,10.0,-4.9913890738476985,5.0,5.0,5.0,0.0,-4.9914,-5.4497,0.4583
POINTVOL,40.0,15.0,-2.5000000000000946,5.0,5.0,5.0,0.0,-2.5,-4.7766,2.2766
POINTVOL,40.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-4.1035,4.1035
