Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,CUT,FILL,AREACUT,AREAFILL,SUM
GRIDCELL,87.5,112.5,0.0,25.0,25.0,25.0,0.0,0.0,3112.6,66.454,558.5462,3112.6
GRIDCELL,87.5,137.5,0.0,25.0,25.0,25.0,0.0,0.0,2693.9,38.2581,586.7419,2693.9
GRIDCELL,87.5,162.5,0.0,25.0,25.0,25.0,0.0,0.0,336.4,465.7638,159.2362,336.4
GRIDCELL,87.5,187.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,87.5,212.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,266.5228,358.4772,0.0
GRIDCELL,87.5,237.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,537.2488,87.7512,0.0
GRIDCELL,87.5,262.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,574.9952,50.0048,0.0
GRIDCELL,87.5,287.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,407.0294,217.9706,0.0
GRIDCELL,87.5,312.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,515.4237,109.5763,0.0
GRIDCELL,87.5,337.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,521.7542,103.2458,0.0
GRIDCELL,112.5,12.500000000000002,0.0,25.0,25.0,25.0,0.0,0.0,0.0,355.3421,269.6579,0.0
GRIDCELL,112.5,37.5,0.0,25.0,25.0,25.0,0.0,0.0,1424.6,260.6861,364.3139,1424.6
GRIDCELL,112.5,62.5,0.0,25.0,25.0,25.0,0.0,0.0,7243.4,0.0,625.0,7243.4
GRIDCELL,112.5,87.5,0.0,25.0,25.0,25.0,0.0,0.0,6828.1,0.0,625.0,6828.1
GRIDCELL,112.5,112.5,0.0,25.0,25.0,25.0,0.0,0.0,6299.5,0.0,625.0,6299.5
GRIDCELL,112.5,137.5,0.0,25.0,25.0,25.0,0.0,0.0,5713.3,0.0,625.0,5713.3
GRIDCELL,112.5,162.5,0.0,25.0,25.0,25.0,0.0,0.0,510.3,395.3132,229.6868,510.3
GRIDCELL,112.5,187.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,583.3562,41.6438,0.0
GRIDCELL,112.5,212.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,300.1918,324.8082,0.0
GRIDCELL,112.5,237.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,326.9485,298.0515,0.0
GRIDCELL,112.5,262.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,555.9641,69.0359,0.0
GRIDCELL,112.5,287.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,562.1497,62.8503,0.0
GRIDCELL,112.5,312.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,342.4398,282.5602,0.0
GRIDCELL,112.5,337.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,157.2312,467.7688,0.0
GRIDCELL,137.5,12.500000000000002,0.0,25.0,25.0,25.0,0.0,0.0,0.0,159.7483,465.2517,0.0
GRIDCELL,137.5,37.5,0.0,25.0,25.0,25.0,0.0,0.0,413.0,329.1163,295.8837,413.0
GRIDCELL,137.5,62.5,0.0,25.0,25.0,25.0,0.0,0.0,4975.2,0.0,625.0,4975.2
GRIDCELL,137.5,87.5,0.0,25.0,25.0,25.0,0.0,0.0,5012.7,0.0,625.0,5012.7
GRIDCELL,137.5,112.5,0.0,25.0,25.0,25.0,0.0,0.0,5428.6,0.0,625.0,5428.6
GRIDCELL,137.5,137.5,0.0,25.0,25.0,25.0,0.0,0.0,6131.3,0.0,625.0,6131.3
GRIDCELL,137.5,162.5,0.0,25.0,25.0,25.0,0.0,0.0,846.2,298.0614,326.9386,846.2
GRIDCELL,137.5,187.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,563.4363,61.5637,0.0
GRIDCELL,137.5,212.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,524.0944,100.9056,0.0
GRIDCELL,137.5,237.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,487.6036,137.3964,0.0
GRIDCELL,137.5,262.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,340.7423,284.2577,0.0
GRIDCELL,137.5,287.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,137.5,312.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,137.5,337.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,488.2536,136.7464,0.0
GRIDCELL,162.5,12.500000000000002,0.0,25.0,25.0,25.0,0.0,0.0,0.0,143.6005,481.3995,0.0
GRIDCELL,162.5,37.5,0.0,25.0,25.0,25.0,0.0,0.0,6.6,610.7858,14.2142,6.6
GRIDCELL,162.5,62.5,0.0,25.0,25.0,25.0,0.0,0.0,2498.2,1.427,623.573,2498.2
GRIDCELL,162.5,87.5,0.0,25.0,25.0,25.0,0.0,0.0,3556.2,0.0,625.0,3556.2
GRIDCELL,162.5,112.5,0.0,25.0,25.0,25.0,0.0,0.0,5100.9,0.0,625.0,5100.9
GRIDCELL,162.5,137.5,0.0,25.0,25.0,25.0,0.0,0.0,6859.6,0.0,625.0,6859.6
GRIDCELL,162.5,162.5,0.0,25.0,25.0,25.0,0.0,0.0,1588.9,141.436,483.564,1588.9
GRIDCELL,162.5,187.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,512.3097,112.6903,0.0
GRIDCELL,162.5,212.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,568.7913,56.2087,0.0
GRIDCELL,162.5,237.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,162.5,262.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,162.5,287.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,530.2975,94.7025,0.0
GRIDCELL,162.5,312.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,162.5,337.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,187.5,12.500000000000002,0.0,25.0,25.0,25.0,0.0,0.0,0.0,488.1132,136.8868,0.0
GRIDCELL,187.5,37.5,0.0,25.0,25.0,25.0,0.0,0.0,0.0,625.0,0.0,0.0
GRIDCELL,187.5,62.5,0.0,25.0,25.0,25.0,0.0,0.0,1695.0,66.9451,558.0549,1695.0
